作品id,作品名,人物id,名字,朝代,时期,国家,文体,写作时间,创作背景,内容简介,相关作品,相关人物,相关地点,相关事件,诗歌全文,sentiment1,sentiment2
3326,《踏莎行（铁锁横江）》,0,李汝章,清,清,,词,,,对于陈后主尤其是张丽华寄予了相当程度的同情。,,张丽华、陈叔宝,青溪、胭脂井,陈后主与妃投井,铁锁横江，琼枝歌阙，繁华王气同消歇。无愁帝子不归来，宫花落尽胭脂色。争似芳魂，还依故国，灵旗潜下青溪侧。风声吹树总为云，婵娟冷挂南朝月。,忧,思
3379,《踏莎行（蜡炬高高）》,0,刘敞,宋,北宋,,词,,,,,,,,蜡炬高高，龙烟细细。玉楼十二门初闭。疏帘不卷水晶寒，小屏半掩琉璃翠。桃叶新声，榴花美味。南山宾客东山妓。利名不肯放人闲，忙中偷取工夫醉。,思,乐
705,《金陵图》,781,韦庄,唐,唐,,七言律绝,,,,,,,,谁谓伤心画不成，画人心逐世人情。君看六幅南朝事，老木寒云满故城。,思,悲
793,《子夜歌》,710,李煜,南唐,南唐,,乐府诗,,,这首词的上片写作者感怀亡国的愁恨和梦回故国的痛苦。词的下片续写作者往日成空、人生如梦的感伤和悲哀。全词以“梦”为中心，集中写“空”，笔意直白，用心挚真。全词八句，句句如白话入诗，以歌代哭，不事雕琢，用情挚切。全词有感慨，有追忆，有无奈，有悲苦，这一切因其情真意深而感人不浅，同时也因其自然流露而愈显其曲致婉转。,《欢闻歌》,,,,"人生愁恨何能免，销魂独我情何限！故国梦重归，觉来双泪垂。
高楼谁与上？长记秋晴望。往事已成空，还如一梦中。",悲,思
186,《襄阳乐》,31,刘诞,南朝,刘宋,,五言古体诗,499年,《乐府诗集·襄阳乐》引《古今乐录》：“诞始为襄阳郡，元嘉二十六年（449年），仍为雍州刺史（南朝侨置雍州于襄阳），夜闻诸女歌谣，因而作之”。,表现了女子的忧叹。,《古今乐录》,,,,"朝发襄阳城，暮至大堤宿。大堤诸女儿，花艳惊郎目。
上水郎担篙，下水摇双橹。四角龙子幡，环环当江柱。
江陵三千三，西塞陌中央。但问想随否，何计道里长。
人言襄阳乐，乐作非侬处。乘星冒风流，还侬扬州去。
烂漫女萝草，结曲绕长松。三春虽同色，岁寒非处侬。
黄鹄参天飞，中道郁徘徊。腹中车轮转，欢今定怜谁。
扬州蒲锻环，百钱两三丛。不能买将还，空手揽抱侬。
女萝自微薄，寄托长松表。何惜负霜死，贵得相缠绕。
恶见多情欢，罢侬不相语。莫作乌集林，忽如提侬去。",喜,悲
269,《估客乐》,99,萧赜,南朝,刘宋;齐,,乐府诗,,帝布衣时，尝游樊、邓。登祚以后，追忆往事而作歌。,,,,,,"昔经樊邓役，阻潮梅根渚。
感忆追往事，意满辞不叙。",思,忧
3345,《虞美人（春花秋月何时了）》,710,李煜,南唐,南唐,,词,北宋太宗太平兴国三年（978）,这首《虞美人》是李煜的绝命之词，是时李煜幽囚汴京已近三年。,此词为作者绝笔，是一曲生命的哀歌，作者通过对自然永恒与人生无常的尖锐矛盾的对比，抒发了亡国后顿感生命落空的悲哀。,《南唐二主词》,,,,春花秋月何时，往事知多少？小楼昨夜又东风，故国不堪回首月明中！雕栏玉砌应犹在，只是朱颜改。问君能有几多愁？恰似一江春水向东流。,思,悲
4052,《虞美人（牙签插架和云散）》,0,严骏生,清,清,,词,,,,,,,,"牙签插架和云散，数卷惊重见。开编见我问书知，犹忆秋窗分坐校仇时。
先生手泽增身价，墨迹如新写。他年归送小仓山，化鹤人归可念浦珠还。",思,乐
863,《浪淘沙（帘外五更风）》,704,李清照,宋,北宋;南宋,,词,建炎四年（1130）,赵明诚在金陵病逝，李清照本人“又大病，仅存喘息”。她的《浪淘沙》词倾吐出悼念亡夫之悲情。,作品上片以昔日夫妻团聚、琴瑟和谐的幸福生活，衬托今日新寡之凄寂悲楚。下片触景生情，烟雨迷蒙的春景恰正折射出此刻词人内心的惆怅与忧愁。最后只得寄情于物，希望天上飞过的征鸿带着自己的伤心热泪，送给冥冥之中的夫君。,,赵明诚,金陵,,"帘外五更风，吹梦无踪。画楼重上与谁同？记得玉钗斜拨火，宝篆成空。
回首紫金峰，雨润烟浓，一江春浪醉醒中。留得罗襟前日泪，弹与征鸿。",思,乐
3026,《浪淘沙（疏雨洗天晴）》,662,邓剡,宋,南宋,,词,1279年,元十六年（1279年），邓剡在厓山被俘虏，并与文天祥一同被押解北上，在途经建康时，邓剡作了此词。,这首词寓含有怀古感今的浓浓深情，语言极为明快，堪称邓剡现存的词中的一篇佳作。词的上片，“疏雨洗天清，枕簟凉生。井桐一叶做秋声”。暑退寒来之节气替代，说出盛极而衰的人生哲理。宋室覆亡，故国不在，如瑟瑟寒秋，令人心灰神懒。“疏雨洗天清”，然而天清世不清，能奈其何。室内枕席生凉，是实写秋天到来天气生凉，气候更替，室外井桐落叶，既是报秋，又勾起词人对自己身世的感叹。给全词的气氛作了烘托，深含怀古的幽幽情感。“谁念客身轻似叶，千里飘零？”叶随风飘，说明个人命运的不可把握，也表明作者对邦国沦亡悲哀之情。“千里”是概括在广东被俘到建康的旅程。词的下片，“梦断古台城。月淡潮平。”无限哀思难以排解。邓剡把它带到梦乡，醒来却发觉古台城上梦凄凉。词人的心境本来就很哀伤，但醒来见月色暗淡，海潮泛起，禁不住自己也心潮澎湃，心里更加凄怆。梦醒之后，只能去“便须携酒访新亭”。王导在当年的新亭会上，还主张“戮力王室，克服神州”，但词人和文天祥都做了俘虏，宋王朝已彻底亡矣。“不见当时王谢宅，烟草青青。”邓剡对世事无常、朝代兴亡的感慨，因为真实的遭遇而显得格外深沉，结句移情入景，寓激于婉，凄苦的亡国之音，袅袅不绝。,,文天祥、王导,新亭,,疏雨洗天清，枕簟凉生。井桐一叶做秋声。谁念客身轻似叶，千里飘零？梦断古台城、，月淡潮平。便须携酒访新亭。不见当时王谢宅，烟草青青。,思,悲
3340,《浪淘沙》,710,李煜,南唐,南唐,,词,此词是作者去世前不久所作,李煜被囚汴京。,抒发了由天子降为臣虏后难以排遣的失落感，以及对南唐故国故都的深切眷念。全词语言清澈自然，明白如话，情真意切，哀婉动人，深刻地表现了词人的亡国之痛和囚徒之悲。,《南唐二主词》,,汴京,李煜被囚汴京,帘外雨潺潺，春意阑珊，罗衾不耐五更寒。梦里不知身是客，一晌贪欢。独自莫凭栏，无限江山，别时容易见时难。流水落花春去也，天上人间。,悲,思
407,《从军行》,94,萧纲,南朝,梁,,乐府诗,,,《从军行》是南北朝萧纲创作的一组乐府诗。,,,,,"贰师惜善马，楼兰贪汉财。前年出右地，今岁讨轮台。鱼云望旗聚，龙沙随阵开。冰城朝浴铁，地道夜衔枚。将军号令密，天子玺书催。何时反旧里，遥见下机来。
云中亭障羽檄惊。甘泉烽火通夜明。贰师将军新筑营。嫖姚校尉初出征。复有山西将。绝世爱雄名。三门应遁甲。五垒学神兵。白云随阵色。苍山答鼓声。逦迤观鹅翼。参差睹雁行。先平小月阵。去灭大宛城。善马还长乐。黄金付水衡。小妇赵人能鼓瑟。侍婢初笄解郑声。庭前柳絮飞已合。必应红妆起见迎。",怒,忧
3879,《河中之水歌》,97,萧衍,南朝,梁,,七言古体诗,,,《河中之水歌》是首叙事古诗，塑造了莫愁美丽率真的形象。全诗十四句中，连用十二句铺叙其生活环境之无比优裕，简直让人艳羡不已，感叹人生富贵，至此无以复加。然而就在读者可能产生错觉误解之时，诗笔突然急转，一句“恨不嫁与东家王”点明题旨。诗的民歌风味极浓。首句以河水东流起兴引出洛阳女儿，饶有趣味。述莫愁经历，排比铺叙，同《焦仲卿妻》兰芝“十三能织素”一段颇有渊源。语言通俗明快、流走自然，更见民歌特色。,《乐府诗集·杂歌谣辞》、《孔雀东南飞》、《相逢行》,莫愁,,莫愁出嫁,"河中之水向东流，洛阳女儿名莫愁。
莫愁十三能织绮，十四采桑南陌头。
十五嫁于卢家妇，十六生儿字阿侯。
卢家兰室桂为梁，中有郁金苏合香。
头上金钗十二行，足下丝履五文章。
珊瑚挂镜烂生光，平头奴子擎履箱。
人生富贵何所望，恨不嫁与东家王。",悲,思
